"Species","Tissue","Cell Type","Cancer","Cell Marker","Source","Supported Sources","Details"
"Human","Peripheral blood","T helper17 (Th17) cell","Normal","IL-17","Experiment","1","more details"
"Human","Peripheral blood","T helper2 (Th2) cell","Normal","CCR4","Experiment","1","more details"
"Human","Peripheral blood","T helper2 (Th2) cell","Normal","CD3, CD4, IL-4","Experiment","1","more details"
"Human","Peripheral blood","T helper2 (Th2) cell","Normal","IL-4","Experiment","1","more details"
"Human","Peripheral blood","Transitional B cell","Normal","CD19, CD24, CD38","Experiment","1","more details"
"Human","Peripheral blood","Transitional B cell","Normal","CD19, CD27, CD38, IgD","Experiment","1","more details"
"Human","Peripheral blood","Circulating stem like cell","Oral Squamous Cell Carcinoma","CD44v6, NANOG","Experiment","1","more details"
"Human","Peripheral blood","Cancer stem cell","Prostate Cancer","CD44","Experiment","1","more details"
"Human","Peripheral blood","Cancer cell","Testicular Germ Cell Tumor (circulating)","EpCAM, OCT3/4, SALL4","Experiment","1","more details"
"Human","Plasma","Endothelial cell","Normal","CD31, CD42b","Experiment","1","more details"
"Human","Plasma","Monocyte","Normal","CD14","Experiment","1","more details"
"Human","Plasma","Platelet","Normal","CD41","Experiment","1","more details"
"Human","Plasma","Red blood cell (erythrocyte)","Normal","CD235a","Experiment","1","more details"
"Human","Serum","Cancer cell","Alveolar Cell Carcinoma","Alkaline phosphatase","Experiment","1","more details"
"Human","Serum","Macrophage","Cholangiocarcinoma","CD115, CD206, CD68","Experiment","1","more details"
"Human","Serum","Cancer cell","Colon Cancer","Alkaline phosphatase","Experiment","1","more details"
"Human","Serum","Cancer cell","Gastric Adenocarcinoma","Alkaline phosphatase","Experiment","1","more details"
"Human","Serum","Cancer stem cell","Normal","CD24, CD44, CXCR4, EpCAM","Experiment","1","more details"
"Human","Serum","M2 macrophage","Normal","CD163","Experiment","1","more details"
"Human","Serum","Macrophage","Normal","CD11b, CD11c, CD68, CSF1r","Experiment","1","more details"
"Human","Serum","Sertoli cell","Normal","Transferrin","Experiment","1","more details"
"Human","Serum","Cancer cell","Renal Cell Carcinoma","Alkaline phosphatase","Experiment","1","more details"
"Human","Umbilical cord blood","Basophil","Normal","CD203c, CD45","Experiment","1","more details"
"Human","Umbilical cord blood","Dendritic cell","Normal","CD34","Experiment","1","more details"
"Human","Umbilical cord blood","Endothelial progenitor cell","Normal","CD31","Experiment","1","more details"
"Human","Umbilical cord blood","Erythroid cell","Normal","GPA, TFR","Experiment","1","more details"
"Human","Umbilical cord blood","Hematopoietic progenitor cell","Normal","CD34","Experiment","1","more details"
"Human","Umbilical cord blood","Hematopoietic stem cell","Normal","CD133","Experiment","1","more details"
"Human","Umbilical cord blood","Hematopoietic stem cell","Normal","CMAH","Experiment","1","more details"
"Human","Umbilical cord blood","Hematopoietic stem cell","Normal","Integrin alpha-2","Experiment","1","more details"
"Human","Umbilical cord blood","Megakaryocyte","Normal","CD34, CD41a, CD61","Experiment","1","more details"
"Human","Umbilical cord blood","Megakaryocyte","Normal","CD41, CD61","Experiment","1","more details"
"Human","Umbilical cord blood","Mesenchymal stem cell","Normal","CMAH","Experiment","1","more details"
"Human","Umbilical cord blood","Mesenchymal stromal cell","Normal","CD105, CD44, CD73, CD90","Experiment","1","more details"
"Human","Umbilical cord blood","Mesenchymal stromal cell","Normal","CD271","Experiment","1","more details"
"Human","Umbilical cord blood","Monocyte","Normal","CD34","Experiment","1","more details"
"Human","Umbilical cord blood","Naive T cell","Normal","CD3, CD45RA","Experiment","1","more details"
"Human","Umbilical cord blood","T helper17 (Th17) cell","Normal","CD161","Experiment","1","more details"
"Human","Umbilical vein","Mesenchymal stem cell","Normal","CD29, CD34, CD45, CD90","Experiment","1","more details"
"Human","Venous blood","Cancer stem cell","Colorectal Cancer","CD133, ESA","Experiment","1","more details"
"Human","Venous blood","Atypical memory B cell","Normal","CD10, CD19, CD20, CD21, CD27","Experiment","1","more details"
"Mouse","Blood vessel","Stem cell","Normal","Lgr5","Experiment","1","more details"
"Mouse","Blood","Cancer stem cell","Chronic Myeloid Leukemia","c-Kit, Sca-1","Experiment","1","more details"
"Mouse","Blood","Cancer stem cell","Hepatocellular Cancer","CD44","Experiment","1","more details"
"Mouse","Blood","B cell","Normal","CD19","Experiment","1","more details"
"Mouse","Blood","Basophil","Normal","CD45, CD49b, Fc-epsilon RI-alpha","Experiment","1","more details"
"Mouse","Blood","Basophil","Normal","mMCP-8","Experiment","1","more details"
"Mouse","Blood","CD3+ T cell","Normal","CD3","Experiment","1","more details"
"Mouse","Blood","CD8+ T cell","Normal","CD8","Experiment","1","more details"
"Mouse","Blood","Embryonic stem cell","Normal","B2m, Bmp4, Brachyury, Fgf4, Lif, Lifr, Nanog, Pou5f1, Rex1, Sox2, Stat3, Tert","Experiment","1","more details"
"Mouse","Blood","Hematopoietic cell","Normal","Vav1","Experiment","1","more details"
"Mouse","Blood","Hematopoietic stem cell","Normal","Abcg2","Experiment","1","more details"
"Mouse","Blood","Hematopoietic stem cell","Normal","CD11a, EPCR","Experiment","1","more details"
"Mouse","Blood","Hematopoietic stem cell","Normal","CD150, CD48","Experiment","1","more details"
"Mouse","Blood","Leukocyte","Normal","CD45","Experiment","1","more details"
"Mouse","Blood","Megakaryocyte","Normal","CD41, CD42b","Experiment","1","more details"
"Mouse","Blood","Mesenchymal progenitor cell","Normal","CD14","Experiment","1","more details"
"Mouse","Blood","Monocyte","Normal","Gr-1","Experiment","1","more details"
"Mouse","Blood","Myeloid cell","Normal","CD11b, Gr-1","Experiment","1","more details"
"Mouse","Blood","Neutrophil","Normal","Gr-1","Experiment","1","more details"
"Mouse","Blood","Neutrophil","Normal","PR3","Experiment","1","more details"
"Mouse","Blood","Platelet","Normal","CD41, Ter119","Experiment","1","more details"
"Mouse","Blood","Polymorphonuclear neutrophil","Normal","Gr-1","Experiment","1","more details"
"Mouse","Blood","Red blood cell (erythrocyte)","Normal","CD41, Ter119","Experiment","1","more details"
"Mouse","Blood","Cancer cell","Pancreatic Cancer (circulating)","CK, EpCAM","Experiment","1","more details"
"Mouse","Peripheral blood","Cytotoxic T cell","Normal","CD4, CD8","Experiment","1","more details"
"Mouse","Peripheral blood","Endothelial progenitor cell","Normal","CD31, c-Kit, Sca-1","Experiment","1","more details"
"Mouse","Peripheral blood","Hematopoietic stem cell","Normal","CD31, c-Kit, Sca-1","Experiment","1","more details"
"Mouse","Peripheral blood","Hematopoietic stem cell","Normal","CD34, c-Kit, Sca-1, Thy1","Experiment","1","more details"
"Mouse","Peripheral blood","Induced regulatory T (Treg) cell","Normal","Nrp1","Experiment","1","more details"
"Mouse","Peripheral blood","Mesenchymal cell","Normal","CD140b","Experiment","1","more details"
"Mouse","Peripheral blood","Mesenchymal stem cell","Normal","CD105, CD31, Sca-1","Experiment","1","more details"
"Mouse","Peripheral blood","Mesenchymal stromal cell","Normal","CD90","Experiment","1","more details"
"Mouse","Peripheral blood","Myeloid cell","Normal","Mac-1","Experiment","1","more details"
"Mouse","Peripheral blood","Natural killer cell","Normal","NK1.1","Experiment","1","more details"
"Mouse","Peripheral blood","Platelet","Normal","CD150","Experiment","1","more details"
"Mouse","Peripheral blood","T cell","Normal","CD3","Experiment","1","more details"
"Mouse","Peripheral blood","T cell","Normal","CD4, CD8","Experiment","1","more details"
"Mouse","Peripheral blood","T helper cell","Normal","CD4, CD8","Experiment","1","more details"
"Mouse","Serum","Alternative macrophage","Normal","Arginase-1, FIZZ1, MHC class II","Experiment","1","more details"
"Mouse","Serum","Classical macrophage","Normal","IFN-gamma, Interleukin-6","Experiment","1","more details"
"Mouse","Serum","M1 macrophage","Normal","CCR7","Experiment","1","more details"
"Mouse","Serum","M2 macrophage","Normal","CD16, CD200, CD206, CD32","Experiment","1","more details"
"Mouse","Serum","M2 macrophage","Normal","CD206","Experiment","1","more details"
"Mouse","Serum","Macrophage","Normal","CD40, NOS2a","Experiment","1","more details"
"Mouse","Serum","Macrophage","Normal","CD68","Experiment","1","more details"
"Mouse","Umbilical cord blood","Proangiogenic cell","Normal","MMP9","Experiment","1","more details"
"Mouse","Umbilical cord blood","Stromal cell","Normal","CD105, CD73","Experiment","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","BDCA-3, CC Chemokine Receptor D6, CD143, CD102, CD105, CD106, CD112, CD146, CD147, CD150, CD151, CD160, CD18, CD248, CD299, CD300g, CD31, CD34, CD36, CD49d, CD54, CD62E, CD62P, CD93, Coagulation Factor III, COLEC11, COLEC12, DCBLD2, ECSCR, EDG1, EDG3, EDG5, EDG6, EDG8, Endomucin, EPCR, Erythropoietin R, ESAM, FABP5, FABP6, IL-1 RI, IL-13 R alpha 1, Integrin alpha 4 beta 1, Integrin alpha 4 beta 7, KLF4, LYVE-1, PD-ECGF, Podocalyxin, Podoplanin, Stabilin-1, Stabilin-2, TEM7, TEM8, THSD1, THSD7A, TIE-2, TNFRSF10A, TNFRSF10B, TNFRSF1A, TNFRSF1B, VE-Cadherin, VEGFR-1, VEGFR-2, VEGFR-3, VE-Statin, VG5Q","Company","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD102, CD105, CD106, CD13, CD141, CD206, CD31, CD324, CD34, CD40, CD54, CD62, CD81, LYVE-1, Podoplanin, VEGF, VEGFR-1, VEGFR-2, VEGFR-3","Company","1","more details"
"Human","Blood vessel","Endothelial cell","Normal","CD146, CD202b, CD309, CD31, CD34, CD54, CD61, CD62E, Endoglin, EPCR, Podoplanin, VCAM1, VE-Cadherin, VEGFR-3","Company","1","more details"
"Human","Blood vessel","Endothelial stem cell","Normal","CD102, CD105, CD106, CD114, CD117, CD120a, CD120b, CD14, CD146, CD29, CD31, CD34, CD45, CD49d, CD49e, CD49f, CD54, CD62L, CD62P","Company","1","more details"
"Human","Blood","B cell","Normal","CD19","Company","1","more details"
"Human","Blood","CD4+ T cell","Normal","CD3, CD4","Company","1","more details"
"Human","Blood","CD8+ T cell","Normal","CD3, CD8","Company","1","more details"
"Human","Blood","Hematopoietic stem cell","Normal","ABCG2, ALDH1A1, BMI1, CD105, CD106, CD117, CD133, CD150, CD244, CD34, CD38, CD44, CD45, CD45.1, CD45.2, CD48, CD49f, CD90, CD93, CDCP1, CXCR4, EPCR, Erythropoietin receptor, ESAM, EVI1, FLK1, FLK2, FLT3, GATA2, GFI1, MCL1, MYB, PLZF, Podocalyxin, Prominin 2, PTEN, SCA-1, SPI1, Spi-B, STAT5a, STAT5b","Company","1","more details"
"Human","Blood","Monocyte","Normal","CD14","Company","1","more details"
"Human","Blood","Myeloid dendritic cell","Normal","CD11b, CD11c, CD197, CD1a, CD1b, CD1c, CD205, CD207, CD209, CD273, CD304, CD4, CD40, CD49d, CD80, CD83, CD86, F4/80, HLA-DR, MHC Class II","Company","1","more details"
"Human","Blood","Naive T cell","Normal","CD197, CD3, CD4, CD45RA, CD45RB, CD62L","Company","1","more details"
"Human","Blood","Natural killer cell","Normal","CD3, CD56","Company","1","more details"
"Human","Blood","Neutrophil","Normal","CD10, CD114, CD11b, CD11c, CD13, CD14, CD15, CD16, CD31, CD32, CD33, CD62L, CD64, CD66b, CD88, CXCR1, CXCR2, JAML, TLR2","Company","1","more details"
"Human","Blood","Plasmacytoid dendritic cell","Normal","CD11b, CD11c, CD123, CD197, CD1a, CD1b, CD1c, CD273, CD303, CD304, CD4, CD40, CD45R, CD49d, CD8, CD80, CD83, CD85g, CD86, 33D1, F4/80, HLA-DR, MHC Class II, Siglec H","Company","1","more details"
"Human","Blood","Platelet","Normal","c-Src, CD102, CD107b, CD109, CSF3R, CD147, CD151, CD193, CD226, CD258, CD29, CD31, CD32, CD323, CD36, CD41, CD41b, CD42b, CD43, CD46, CD47, CD48, CD49b, CD49f, CD51, CD61, CD62P, CD63, CD69, CD84, CD9, Fc-epsilon RI-alpha, GARP, Lyn, PDGF, CCL5, VEGF","Company","1","more details"
"Human","Blood","Red blood cell (erythrocyte)","Normal","CD235a, CD24, CD45, Ter119","Company","1","more details"
"Human","Peripheral blood","Basophil","Normal","CD117, CD11b, CD123, CD15, CD203c","Company","1","more details"
"Human","Peripheral blood","CD4+ T helper cell","Normal","CD3, CD4, CD45","Company","1","more details"
"Human","Peripheral blood","CD4+CD25+ regulatory T cell","Normal","CD25, CD3, CD4, CD45","Company","1","more details"
"Human","Peripheral blood","CD8+ cytotoxic T cell","Normal","CD3, CD8","Company","1","more details"
"Human","Peripheral blood","Effector regulatory T (Treg) cell","Normal","CD25, CD4, CD49d","Company","1","more details"
"Human","Peripheral blood","Eosinophil","Normal","CD11b, CD15, CD16, CD193, CD66b, SIGLEC8","Company","1","more details"
"Human","Peripheral blood","Induced regulatory T (Treg) cell","Normal","CD127, CD25, CD4","Company","1","more details"
"Human","Peripheral blood","Naive regulatory T (Treg) cell","Normal","CD127, CD25, CD4, CD45RA","Company","1","more details"
"Human","Peripheral blood","Natural killer T (NKT) cell","Normal","CD16, CD3, CD45, CD56, Granzyme, NK1.1","Company","1","more details"
"Human","Peripheral blood","Natural regulatory T (Treg) cell","Normal","CD127, CD25, CD4, HELIOS","Company","1","more details"
"Human","Peripheral blood","Neutrophil","Normal","CD11b, CD15, CD16, CD49d, CD66b","Company","1","more details"
"Human","Peripheral blood","T cell","Normal","CD2, CD3, CD45, CD5, CD6","Company","1","more details"
"Human","Undefined","Red blood cell (erythrocyte)","Normal","CD235a, CD45, CD51, CD61","Company","1","more details"
"Human","Undefined","Red blood cell (erythrocyte)","Normal","CD235a","Company","1","more details"
"Mouse","Blood vessel","Endothelial cell","Normal","CD102, CD105, CD106, CD119, CD123, CD13, CD182, CD282, CD31, CD34, CD44, CD49b, CD54, CD62, CD93, Ly6C, LYVE-1, MHC class II, PLVAP, Podoplanin, Vegfr1, Vegfr2, Vegfr3","Company","1","more details"
"Mouse","Blood vessel","Epithelial cell","Normal","CD119, CD13, CD1d, CD282, CD44, CD49b","Company","1","more details"
"Mouse","Undefined","Red blood cell (erythrocyte)","Normal","CD24, CD45, CD51, CD61, Ter119","Company","1","more details"
"Mouse","Undefined","Red blood cell (erythrocyte)","Normal","Ter119","Company","1","more details"
"Human","Peripheral blood","M1 macrophage","Normal","CCR7, CD127, CD16, CD32, CD62, CD64, CD80, CD86, CXCL10, IL-15R, IL-17R, IL-1R-1, IL-2R, TLR2, TLR4","Review","1","more details"
"Human","Peripheral blood","M2 macrophage","Normal","CD163, CD206, CD23, CD36, IL-1, C-type lectin-like receptor dectin-1, CD209, DCIR, CLACSF13, FIZZ1, M60, CD184, TRAIL","Review","1","more details"
"Human","Umbilical cord blood","Mesenchymal stem cell","Normal","CD105","Review","1","more details"
"Mouse","Peripheral blood","Mesenchymal stromal cell","Normal","CD117, CD13, CD140a, CD34, CD44, CD45, CD90","Review","1","more details"
"Mouse","Umbilical cord blood","Mesenchymal stromal cell","Normal","CD18","Review","1","more details"
"Human","Blood","AXL+SIGLEC6+ dendritic cell","Normal","ACPP, ADAM33, AK125727, ALDH2, APEX1, ARHGAP18, ATF5, ATP2B4, AXL, BAIAP2, BHLHE40, BIN1, C5ORF25, CCND3, CD22, CD300LB, CD300LG, CD5, CD72, CDH1, CDKN1A, CEP95, COQ7, CTSW, CX3CR1, CXCR2, DAB2, DPYSL2, ENTPD7, FAM105A, FAM129A, GGTA1P, GNAQ, GPR146, HIP1, IRF4, KLF12, KLF4, LAX1, LGMN, LTK, MECR, MED12L, MGLL, MRPS6, MYH11, MYO1E, NDRG1, PIM2, PLA2G16, PLAC8, PPP1R14A, PTGDS, RAD1, RBL1, RNASEL, RNF141, RUNX2, S100A10, SCN9A, SEPT6', SIGLEC1, SIGLEC6, SLC20A1, SLC35C2, SLC41A2, SLC4A3, SNRNP25, SOX4, SP4, STAG3L4, STX18, SUCLA2, SUSD1, TBC1D9, THBD, TNFSF12, TNNI2, TSEN54, TXN, UPK3A, USF2, VASH1, ZEB1, ZNF789","Single-cell sequencing","1","more details"
"Human","Blood","CD141+CLEC9A+ dendritic cell","Normal","ACSS2, ACTN1, ADAM28, ANPEP, APOL1, APOL3, ASAP1, ASB2, AX747832, B3GNT7, BATF3, BCL6, BTLA, C1ORF21, C1ORF54, CADM1, CAMK2D, CCND1, CD38, CD40, CD59, CD93, CLEC9A, CLNK, CPNE3, CPVL, CSRP1, CTTNBP2NL, CYB5R3, CYP2E1, DENND1B, DHRS3, DNASE1L3, DPP4, DSE, DST, DUSP10, DUSP2, EHD4, ELOVL5, ENPP1, FAM135A, FAM160A2, FAM190A, FCRL6, FLT3, FNBP1, FUCA1, GCET2, GSTM4, GYPC, HAVCR2, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DPB2, HLA-DQB, HLA-DQB1, ID2, IDO1, IDO2, INF2, KCNK6, KIAA1598, KIF16B, LACC1, LGALS2, LIMA1, LMNA, LOC541471, LOC645638, LRRC18, MTERFD3, NAV1, NCALD, NDRG2, NET1, OSBPL3, PAFAH1B3, PALM2, PDE4DIP, PDLIM1, PDLIM7, PIK3CB, PLCD1, PPA1, PPM1H, PPM1M, PQLC2, PRELID2, PTK2, RAB11FIP4, RGS10, SCARF1, SLAMF7, SLAMF8, SLC24A4, SLC9A9, SNX22, SNX3, STX3, TGM2, THBD, TLR10, TMEM14A, TRERF1, VAC14, VAV3, WDFY4, WHAMMP3, XCR1, ZNF366","Single-cell sequencing","1","more details"
"Human","Blood","CD1C-CD141- dendritic cell","Normal","ABCC3, ABHD3, ABI3, ACOT9, ADRBK1, AGTRAP, AIF1, AK123771, AK124399, AK307192, AL137655, ALDH3B1, ALOX5, AMPD2, AP2A1, APOBEC3A, APOL6, ARAP1, ARAP2, ARHGEF3, ARL4A, ARRB1, ARRB2, ARRDC3, ASAH1, ATP1B3, BACH1, BCL2A1, BID, BIN2, BLOC1S3, BLVRA, C10ORF46, C10ORF54, C11ORF21, C15ORF39, C19ORF38, C20ORF112, C3AR1, C5AR1, C9ORF72, CABP4, CALML4, CAMK1, CAMKK2, CASP1, CASP4, CCM2, CCPG1, CD244, CD300A, CD300E, CD300LF, CD52, CD68, CD79B, CD97, CDC42EP3, CDH23, CDKN1C, CFD, CHST15, CKB, CLEC12A, CLEC4F, CLEC7A, CMTM7, CNIH4, CORO2A, CPPED1, CSF1R, CSGALNACT2, CSK, CTSL1, CTSS, CX3CR1, CXCL16, CYTIP, DDX58, DDX60, DDX60L, DENND3, DENND5A, DKFZP451J181, DMXL2, DNAJB1, DNASE2, DOK2, DOK3, DPEP2, DRAP1, DUSP1, DUSP6, EHD1, EMR1, EMR2, ERICH1, EVL, FAM110A, FAM126A, FAM26F, FAM45B, FAM46A, FCAR, FCGR2A, FCGR2C, FCGR3A, FCGR3B, FCN1, FGD3, FGD4, FGR, FLNA, FOXO1, FPR1, FTH1, FTL, FYB, GBP1, GBP2, GBP4, GBP5, GIMAP1, GIMAP2, GIMAP4, GIMAP7, GLUL, GNG2, GNS, GPBAR1, GPR155, GRAMD1A, HCK, HEG1, HK1, HK3, HLA-E, HMOX1, HSBP1, HSPA7, ICAM2, ICAM4, IFI30, IFI6, IFIT2, IFIT3, IFITM1, IFITM2, IFITM3, IFNGR2, IL12RB1, IMPDH1, INSIG1, IRAK3, IRF1, ISG15, ITGAL, ITGB1, ITM2B, KDM1B, KIAA0513, KLF11, KLF3, KSR1, L1TD1, LCP2, LGALS3, LILRA2, LILRA5, LILRA6, LILRB1, LILRB2, LIMS1, LOC100133161, LOC200772, LOC388312, LRP1, LRRC25, LST1, LTA4H, LY6E, LYN, LYST, MAFB, MAGED2, MAP3K1, MARCKS, MBD2, MCTP1, MEFV, MPP1, MS4A4A, MS4A7, MSN, MT2A, MTSS1, MXD3, MYO1G, MYOF, NAAA, NADK, NAMPT, NAP1L1, NBEAL2, NCF2, NDUFB3, NEAT1, NECAP2, NEURL, NFAM1, NFKBIZ, NINJ1, NLRP1, NPL, NR4A1, NUDT16, OAS1, P2RX1, P2RY13, PAG1, PDLIM5, PDP1, PECAM1, PELI1, PHTF2, PIEZO1, PIK3AP1, PIK3IP1, PILRA, PITPNM1, PLEKHO2, PLIN2, PLXNC1, PNPLA6, POU2F2, PPM1F, PRAM1, PSAP, PSTPIP2, PTGER2, PTGER4, PTP4A3, PTPN13, PTPN6, PTPRC, PYGL, RAB10, RAB24, RAB37, RAB3D, RALB, RAP1B, RAP1GAP2, RASGRP4, RELT, RHOC, RNF144B, RNF149, RXRA, S100A11, S100A4, SAMSN1, SASH1, SAT1, SCIMP, SCPEP1, SDCBP, SERPINA1, SGPL1, SH2D1B, SH3BP2, SIDT2, SIGLEC10, SIRPB1, SIRPB2, SLA, SLC11A1, SLC2A6, SLC31A2, SLC44A2, SLC7A7, SMAP2, SNX18, SOD2, SPN, SSH2, STK10, STK38, STX11, STXBP2, SULT1A1, SVIL, SWAP70, SYTL1, TAGLN, TBC1D8, TBCD, TBXAS1, TCF7L2, TCIRG1, TESC, TIAM1, TIMP1, TKT, TLE4, TLR2, TLR4, TMBIM1, TMC6, TMEM11, TMEM134, TMEM154, TMEM176B, TMPO, TMTC1, TNFRSF14, TNFRSF1B, TNFSF10, TSC22D3, TSPAN14, TSPAN32, TTYH3, TUBA1A, TXNIP, TYMP, TYROBP, UBXN11, UNC13D, UPP1, VAMP5, VASP, VMP1, VPS53, WARS, WDFY1, WDR11, WSB1, YPEL2, ZCCHC6, ZEB2, ZFAND5, ZNFX1","Single-cell sequencing","1","more details"
"Human","Blood","CD1C+_A dendritic cell","Normal","ADAM8, AGPAT9, AREG, C10ORF128, CACNA2D3, CCR6, CD1C, CD1D, CD1E, CD2, CD33, CLEC10A, CLEC17A, CLEC4A, CLIC2, CREB5, ENTPD1, ETS2, FCER1A, FCGR2B, ITGA5, MBOAT7, NOD2, NR4A2, PEA15, PER1, PID1, PTAFR, PTGS1, SLC2A3, SMA","Single-cell sequencing","1","more details"
"Human","Blood","CD1C+_B dendritic cell","Normal","ADAM15, ANXA1, AOAH, ASGR1, BST1, C9ORF89, CD14, CD163, CD1D, CD36, CES1, CES1P1, CLEC10A, CREB5, CSF3R, CSTA, DQ575504, EREG, F13A1, FCER1A, FCN1, FPR1, HBEGF, HNMT, IL13RA1, IL1B, IL1RN, IL27RA, ITGA5, LAT2, LMNA, LOC284454, LYZ, MGST1, MICAL2, MNDA, MPP7, MTMR11, NAIP, NFE2, NLRP12, NLRP3, NOD2, NR4A2, PID1, PLBD1, PTAFR, RAB27A, RAB3D, RETN, RNASE2, S100A12, S100A8, S100A9, SLC2A3, SMA, TMEM173, TREM1, VCAN","Single-cell sequencing","1","more details"
"Human","Blood","Megakaryocyte","Normal","CD14, CD15, CD33","Single-cell sequencing","1","more details"
"Human","Blood","Myeloid cell","Normal","CD41, CD42b","Single-cell sequencing","1","more details"
"Human","Blood","Plasmacytoid dendritic cell","Normal","11-Sep, ABCA2, ABCA7, ABHD15, ABI2, ABPARTS, ADA, ADAM19, AHCY, AHI1, AHNAK2, AK057596, AK093551, AK095700, AK128525, AL833181, ALDH5A1, ALG2, ALOX5AP, ANKRD36, ANKRD36B, ANKRD36BP1, ANKS3, APP, ARHGEF4, ARL6IP6, ASPH, ATP13A2, ATP2A3, AX747844, B4GALT1, BC034268, BC051760, BCL11A, BEX4, BLNK, BTAF1, BX647938, C10ORF118, C10ORF58, C12ORF44, C12ORF45, C12ORF75, C17ORF109, C18ORF8, C1ORF186, C1ORF55, C5ORF45, C5ORF62, C5ORF64, C6ORF170, C6ORF25, C9ORF142, C9ORF91, CARD11, CCDC50, CCDC69, CCR2, CCS, CD164, CD2AP, CD99, CDCA7L, CEP135, CLCN5, CLEC4C, CLIC3, CLN8, CMKLR1, CNP, COBLL1, COL24A1, CREB3L2, CRIM1, CRYM, CRYM-AS1, CSF2RB, CSNK1E, CTNS, CTSB, CUX2, CXCR3, CXORF21, CYBASC3, CYP46A1, CYSLTR1, CYTH4, DAAM1, DAB2, DAPK2, DCK, DCPS, DENND5B, DERL3, DHRS7, DHTKD1, DKFZP586I1420, DKFZP667P0924, DPPA4, DQ572107, DQ576756, DSN1, DUSP5, EFHC1, EGLN3, EIF4A3, EMB, EPHB1, ERN1, ERO1LB, ERP29, FAM129C, FAM160A1, FCHSD2, FKBP2, FLJ42627, FLJ43663, FLNB, FMNL3, FOXRED2, FUT7, FZD3, GAB1, GALNT2, GAPT, GAS6, GGA2, GLCE, GNG7, GPM6B, GPR114, GPR183, GZMB, HERPUD1, HIGD1A, HNRNPA1L2, HPS4, HSP90B1, IDH3A, IFI44L, IGFBP3, IGFLR1, IGJ, IL28RA, IL3RA, IQGAP2, IRF2BP2, IRF4, IRF7, IRF8, ITGAE, ITM2C, ITPR1, ITPR2, KANK1, KIAA0226, KIAA0226L, KIRREL3, KRR1, KRT5, LAIR1, LAMP5, LGMN, LILRA4, LILRB4, LIME1, LMAN1, LOC100131089, LOC100131564, LOC100233209, LOC100507600, LOC284551, LOC285972, LOC400657, LOC642776, LOC644961, LOC652276, LRP8, LRRC36, LTB, LY9, MAGED1, MAN2B1, MAP1A, MAP2K6, MAP4K4, MAPKAPK2, MCOLN2, MDFIC, MDN1, MEF2D, MFSD2A, MGAT4A, MIF4GD, MILR1, MINA, MRPL36, MS4A6A, MYB, MYBL2, MYO1E, MZB1, N4BP2, N4BP2L1, NAPSA, NCF1, NCF1B, NCF1C, NEK8, NFATC2IP, NFX1, NGLY1, NICN1, NOP56, NOTCH4, NPC1, NPC2, NRP1, NUCB2, OCLN, OFD1, OGT, OVOS2, P2RY14, P2RY6, P4HB, PACSIN1, PAFAH2, PAIP1, PAPLN, PARK7, PARP10, PCMTD1, PCNX, PCYOX1, PDCD4, PDIA4, PFKFB2, PFKP, PHC3, PHEX, PHLPP2, PIK3CD, PLA2G16, PLAC8, PLD4, PLP2, PLXNA4, PMS2L2, PMS2P5, POLB, PPARA, PPFIBP1, PPM1J, PPM1K, PPP1R14B, PPP6R1, PTCRA, PTK7, PTPRCAP, PTPRS, QDPR, RABGAP1L, RASD1, RCL1, RNASE6, RNASEH2B, RNASET2, RNF5, RRBP1, RREB1, RUNX2, S100PBP, SBDS, SCAMP5, SCARB2, SCN9A, SEC11C, SEC61A1, SEC61B, SEC61G, SEL1L3, SELL, SELS, SEPT1', SERPINF1, SERTAD2, SETBP1, SFT2D2, SGSM3, SIDT1, SIT1, SIVA1, SLA2, SLC12A2, SLC12A3, SLC15A4, SLC20A1, SLC23A2, SLC2A1, SLC33A1, SLC35E2, SLC38A1, SLC38A2, SLC3A2, SLC7A11, SLC7A5, SMC6, SMPD3, SND1, SNRNP25, SNRPN, SNURF-SNRPN, SOLH, SORL1, SP4, SPATA5, SPCS1, SPG20, SPIB, SPICE1, SPNS3, SPON2, SRPR, SSR4, ST3GAL2, ST3GAL4, ST6GALNAC4, STAG3L1, STAG3L3, STAMBPL1, STMN1, STRBP, STT3A, SULF2, SUSD1, SUZ12P, SYS1, TACC1, TASP1, TATDN3, TAX1BP3, TBC1D4, TBCC, TCF4, TCL1A, TCL6, TEX2, TGFBI, TGFBR2, THSD1P1, TLR7, TMEM109, TMEM19, TMEM63A, TMIGD2, TNFAIP3, TNFRSF21, TP53I11, TP53I13, TPM2, TPST2, TRAF4, TRAM1, TRDMT1, TRIM74, TRRAP, TSPAN13, TSPAN3, TTC24, TUBB6, TULP4, TXN, TXNDC5, UBA5, UBE2J1, UGCG, USP11, USP24, VAMP1, VEGFB, VIPR2, ZBTB33, ZCCHC11, ZDHHC17, ZDHHC4, ZFAT, ZFYVE26, ZNF506, ZNF527","Single-cell sequencing","1","more details"
"Human","Blood","Red blood cell (erythrocyte)","Normal","GlyA","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Cancer cell","Melanoma","MITF, MLANA, PMEL, TYR","Single-cell sequencing","1","more details"
